Absolute Time Status	N/A			
          4.237886256e-01	         -1.702453924e-01			
          4.247651881e-01	         -9.821678122e-01			
          4.257417506e-01	         -1.429917508e+00			
          4.267183131e-01	         -1.321544237e+00			
          4.276948756e-01	         -8.176236274e-01			
          4.286714381e-01	          1.549966391e-01			
          4.296480006e-01	          5.783382644e-01			
          4.306245631e-01	          1.499575768e+00			
          4.316011256e-01	          1.167590064e+00			
          4.325776881e-01	          6.474716974e-01			
          4.335542506e-01	          1.699362475e-01			
          4.345308131e-01	         -1.496599350e+00			
          4.355073756e-01	         -1.566178526e+00			
          4.364839381e-01	         -1.499590147e+00			
          4.374605006e-01	         -4.407328248e-01			
          4.384370631e-01	          1.607086309e+00			
          4.394136256e-01	          2.396563369e+00			
          4.403901881e-01	          1.867041245e+00			
          4.413667506e-01	          5.910347747e-01			
          4.423433131e-01	         -4.234997924e-01			
          4.433198756e-01	         -2.454732941e+00			
          4.442964381e-01	         -2.459938079e+00			
          4.452730006e-01	         -1.071719189e+00			
          4.462495631e-01	          6.214460082e-01			
          4.472261256e-01	          1.995681482e+00			
          4.482026881e-01	          1.796203920e+00			
          4.491792506e-01	          2.787840195e-01			
          4.501558131e-01	         -1.487583821e+00			
          4.511323756e-01	         -2.339055223e+00			
          4.521089381e-01	         -9.774659335e-01			
          4.530855006e-01	          1.291248034e+00			
          4.540620631e-01	          2.625747601e+00			
          4.550386256e-01	          2.117484583e+00			
          4.560151881e-01	          1.907496094e-01			
          4.569917506e-01	         -2.131352969e+00			
          4.579683131e-01	         -2.974786603e+00			
          4.589448756e-01	         -1.142915985e+00			
          4.599214381e-01	          1.441010778e+00			
          4.608980006e-01	          2.759025012e+00			
          4.618745631e-01	          1.421994770e+00			
          4.628511256e-01	         -1.144095049e+00			
          4.638276881e-01	         -3.046040914e+00			
          4.648042506e-01	         -1.925901002e+00			
          4.657808131e-01	          8.533478400e-01			
          4.667573756e-01	          3.014378722e+00			
          4.677339381e-01	          2.150498386e+00			
          4.687105006e-01	         -7.878450625e-01			
          4.696870631e-01	         -2.987253052e+00			
          4.706636256e-01	         -2.391200064e+00			
          4.716401881e-01	          1.045218998e+00			
          4.726167506e-01	          3.329778441e+00			
          4.735933131e-01	          2.232889104e+00			
          4.745698756e-01	         -1.099808241e+00			
          4.755464381e-01	         -3.380154686e+00			
          4.765230006e-01	         -1.671302181e+00			
          4.774995631e-01	          1.915131255e+00			
          4.784761256e-01	          3.210053082e+00			
          4.794526881e-01	          1.340373320e+00			
          4.804292506e-01	         -2.443963195e+00			
